"Photo\nBurst"		50	11.777	42.2	9.489
"Smart\nSecurity"	264.65	23.690	258.65	26.497
"Honest\nAssistant"	217.2	22.608	199.95	1.774
"Light My\nPath"	14.95	2.418	10.1	0.830
"Smart\nCamera"		172	7.210	167	8.042
